k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,D,D_coe,Element,gen_coe
21,7,0,3,,,,"[Toda3]Lem5.1(1), \ v(9)=P(a)\ne0",1 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Lem5.1(1), \ H(v(7))=b",,,,14,1 0 0 0 0 0 0 0 0 0 0 0
21,9,0,3,,,,E^{2}P=0,0 0 0 0 0 0 0 0 0 0 0 0,,,,,14,1 0 0 0 0 0 0 0 0 0 0 0
21,11,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
21,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
21,15,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
21,17,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
21,19,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
21,21,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
21,23,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
21,25,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
22,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
22,3,0,3,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{6}^{*}(3)=3\alpha_{6}^{*}{'}(5)",,"[Toda3]Th4.3(5),\ H(\alpha_{6}^{*}(3))=a_{5}",,,,16,1 0 0 0 0 0 0 0 0 0 0 0
22,5,0,9,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{6}^{*}{'}(5)=3\alpha_{6}^{*}{'}(7)",,"[Toda3]Th4.3(5),\ H(\alpha_{6}^{*}{'}(5))=a_{4}",,,,15,1 0 0 0 0 0 0 0 0 0 0 0
22,7,0,9,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{6}^{*}{'}(7)=3\alpha_{6}^{*}{'}(9)",,"[Toda3]Th4.3(5),\ H(\alpha_{6}^{*}{'}(7))=a_{3}",,,,15,1 0 0 0 0 0 0 0 0 0 0 0
22,9,0,9,,,,"[Toda3]Th4.3(1),\ E^{2}\alpha_{6}^{*}{'}(9)=\alpha_{6}^{*}(11)",,"[Toda3]Th4.3(5),\ H(\alpha_{6}^{*}{'}(9))=a_{2}",,,,15,1 0 0 0 0 0 0 0 0 0 0 0
22,11,0,3,,,,E^{2}P=0,0 0 0 0 0 0 0 0 0 0 0 0,H E^{2}=0,,,,16,1 0 0 0 0 0 0 0 0 0 0 0
22,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
22,15,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
22,17,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
22,19,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
22,21,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
22,23,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
22,25,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
23,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
23,3,0,3,,,,E^2 \alpha_{6}(3)=3\alpha'_{6}(5),,"[Toda3]Th4.3(3),\ H(\alpha_{6}(3))=A_{5}",,,,19,1 0 0 0 0 0 0 0 0 0 0 0
23,3,1,3,,,,,,"[Toda3]p48, \ H(\alpha_{1}(3)\beta_{1}(6)^{2})=b^{2}",,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,5,0,9,,,,,,"[Toda3]Th4.3(3),\ H(\alpha'_{6}(5))=A_{4}",,,,20,1 0 0 0 0 0 0 0 0 0 0 0
23,5,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,7,0,9,,,,,,,,,,20,1 0 0 0 0 0 0 0 0 0 0 0
23,7,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,9,0,9,,,,,,,,,,20,1 0 0 0 0 0 0 0 0 0 0 0
23,9,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,11,0,9,,,,,,,,,,20,1 0 0 0 0 0 0 0 0 0 0 0
23,11,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,13,0,9,,,,,,,,,,20,1 0 0 0 0 0 0 0 0 0 0 0
23,13,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,15,0,9,,,,,,,,,,20,1 0 0 0 0 0 0 0 0 0 0 0
23,15,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,17,0,9,,,,,,,,,,20,1 0 0 0 0 0 0 0 0 0 0 0
23,17,1,3,,,,,,,,,,1 3 3,0 1 0 0 0 0 0 0 0 0 0 0
23,19,0,9,,,,,,,,,,20,1 0 0 0 0 0 0 0 0 0 0 0
