k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,,
21,22,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,23,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,23,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,,2,0,,,,,,,,,,,
22,2,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,3,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,4,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,4,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
22,4,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
22,5,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,5,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
22,5,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
22,6,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,6,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
22,6,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
22,6,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
22,7,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,7,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
22,7,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
22,7,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
22,8,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,8,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
22,8,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
22,8,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
22,8,4,0,,,,,,,,,0 0 0 0 1 0 0 0 0 0 0 0,,
22,8,5,0,,,,,,,,,0 0 0 0 0 1 0 0 0 0 0 0,,
22,9,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,9,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
22,9,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
22,9,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
22,10,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,10,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
22,10,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
22,11,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,11,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
22,11,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
22,12,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,12,1,0,,,,,,,,,2 1 0 0 0 0 0 0 0 0 0 0,,
22,12,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
22,12,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
22,13,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
22,13,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
